$ TO PLACE	 放入几率
$ TO STEAL	 扒窃几率
$10 Mins	10分钟
$15 Mins	15分钟
$30 Mins	30分钟
$360 Controller	360控制器
$45 Mins	45分钟
$5 Mins	5分钟
$60 Mins	60分钟
$Accept	接受
$Activate	互动
$Actor Fade	角色淡出
$Add	新增
$Animals Killed	动物击杀数
$ARMOR	护甲
$Armor Improved	升级护甲次数
$Armor Made	护甲制造数
$Armor Rating	护甲值
$Arrows	箭
$Assaults	主动袭击次数
$Audio	音频设置
$Auto-Move	自动移动
$Automatons Killed	自动人偶击杀数
$Autosave Timer	自动存档计时
$Back	后退
$Backstabs	背刺次数
$Barters	交易次数
$Books Read	阅读过的书本数
$Brawls Won	打架胜场数
$Bribes	贿赂次数
$Brightness	画面亮度
$Bunnies Slaughtered	兔子击杀数
$Buy	买入
$Cancel	取消
$Carry Weight	负重
$Charge	充能
$Charges	充能上限
$CHARGES	充能上限
$Chests Looted	搜刮过的箱子数
$Civil War Quests Completed	内战任务完成数
$College of Winterhold Quests Completed	冬堡学院任务完成数
$COMBAT	战斗
$Conjuration	召唤
$CONTINUE	CONTINUE
$Controls	操作设置
$CONTROLS	操作设置
$Cost	费用
$COST	消耗
$CRAFTING	制作
$Crafting_$DLC2ArmorBonemold	骨模
$Crafting_$DLC2ArmorChitin	甲壳
$Crafting_$DLC2ArmorNordic	诺德
$Crafting_$DLC2ArmorStalhrim	魔冰
$Creatures Killed	生物击杀数
$CREDITS	制作团队
$CRIME	犯罪
$Critical Strikes	暴击次数
$Crosshair	准星
$Current Location	目前位置
$Daedra Killed	魔族击杀数
$Daedric Quests Completed	魔族任务完成数
$DAMAGE	伤害值
$Damage	伤害值
$Dawnguard Quests Completed	黎明守卫任务完成数
$DAWNGUARD_ESMName	黎明守卫
$Days as a Vampire	吸血鬼时光
$Days as a Werewolf	狼人时光
$Days Jailed	坐牢日数
$Days Passed	经过日数
$Defaults	恢复默认
$Delete	删除
$Delete this save?	要删除这个存档吗？
$Desktop	回到桌面
$DETECTED	已被察觉
$Dialogue Subtitles	对话字幕
$Difficulty	游戏难度
$Disabled	关闭
$Diseases Contracted	染病次数
$Display	显示设置
$Done	完成
$DOWNLOADABLE CONTENT	下载内容
$DOWNLOADABLE CONTENT_PS3	下载内容
$Dragon Souls Collected	龙魂收集数
$Dragonborn Quests Completed	龙裔任务完成数
$DRAGONBORN_ESMName	龙裔
$Dragons Killed	龙族击杀数
$Drop	丢弃
$Dungeons Cleared	地下城净空数
$Eastmarch Bounty	东陲悬赏金
$Easy	学徒
$Eat	食用
$Effects	效果
$Equip	装备
$Exit	离开
$FACTION	组织
$Falkreath Bounty	佛克瑞斯悬赏金
$Favorite	加入偏好分类
$Favorite School	偏好的魔法派系
$Favorite Shout	偏好的龙吼
$Favorite Spell	偏好的法术
$Favorite Weapon	偏好的武器
$Favorites	偏好分类
$Fines Paid	已付罚金
$Food Eaten	吃下的食物
$Footsteps	脚步
$Forward	前进
$Gameplay	游戏设置
$GENERAL	常规
$GENERAL STATS	统计
$General Subtitles	普通字幕
$Give	放入
$GIVE GIFT	送礼
$Gold	金币
$Gold Found	金币寻获数
$Grass Fade	草地淡出
$Haafingar Bounty	海芬加悬赏金
$Hard	专家
$Health	生命
$HEALTH	生命力
$HEARTHFIRES_ESMName	炉火之心
$HELP	游戏帮助
$HIDDEN	潜行中
$Hjaalmarch Bounty	希雅陲悬赏金
$HK10	AXE
$HK11	DGR
$HK12	BOW
$HK13	SHD
$HK14	GSW
$HK15	BTX
$HK16	WHM
$HK17	DWL
$HK18	DWR
$HK19	灵魂
$HK20	FLM
$HK21	ZAP
$HK22	CLD
$HK23	WRD
$HK24	RIT
$HK25	BWPN
$HK26	SUMM
$HK27	ARMR
$HK28	CLM
$HK29	FRNZ
$HK30	HEAL
$HK31	HP
$HK32	MP
$HK33	SP
$HK34	PSN
$HK35	LGHT
$HK36	XBOW
$HK8	SWD
$HK9	MCE
$Horses Owned	拥有马匹数
$Horses Stolen	偷窃马匹数
$hour	小时
$hours	小时
$Hours Slept	睡眠时数
$Hours Waiting	等待时数
$Houses Owned	拥有房屋数
$How many?	决定数量？
$HUD Opacity	HUD透明度
$Ingredients Eaten	吃下材料数
$Ingredients Harvested	采集材料数
$Input Mapping	输入配置
$Intimidations	威吓次数
$Inv/INV	反转设定
$Invert Y	反转Y轴
$Item Fade	道具淡出
$ITEMS	道具
$Items Pickpocketed	扒窃道具数
$Items Stolen	偷窃道具数
$Jail Escapes	逃狱次数
$Journal	冒险日志
$Jump	跳跃
$Kinect	Kinect
$Kinect Tuner	Kinect Tuner
$Large	大
$Largest Bounty	最高悬赏金
$Left Attack/Block	左手
$Legendary	传奇
$LEVEL	等级
$Level	等级
$Level Progress	升级状况
$LEVEL UP	升级
$Light Fade	高光淡出
$Listening	听力
$LOAD	读取
$Load this game?	确定要读取这个存档？
$Load this game? All unsaved progress will be lost.	要读取此存档吗？未保存进度将丢失。
$Loading downloadable content...	读取下载内容中……
$Loading downloadable content..._PS3	读取拓展内容加与下载内容中。请稍候……
$Loading extra content.	读取下载内容中……
$Loading extra content._PS3	读取拓展内容
$Local Map	本地地图
$Locations Discovered	发现地点数
$Lock Level	锁等级
$Lockpicking	开锁
$Lockpicks Broken	开锁器损毁数
$Lockpicks Left	开锁器
$Locks Picked	成功开锁数
$Look Sensitivity	灵敏度
$lvl	级
$Mag	魔法
$MAGIC	魔法
$Magic Items Made	魔法道具制造数
$Magicka	法力
$MAGICKA	法力
$Main Menu	主菜单
$Main Quests Completed	主线任务完成数
$MAP	地图
$Marketplace	Xbox LIVE 游戏商场
$Master	主音量
$Mauls	狼人状态击杀数
$Medium	中
$Menus	菜单
$min	分钟
$mins	分钟
$Misc Objectives Completed	杂项任务完成数
$MISCELLANEOUS	杂项
$Most Gold Carried	最大金币携带数
$Mouse Acceleration	鼠标加速
$Murders	谋杀人数
$Music	音乐
$NAME	姓名
$Necks Bitten	吸血次数
